Model,FeatureSelection,FeatureExtraction,ChannelPair,SlidingWindow,ReducedPairsGreaterThan,OverallMeanAccuracy
LDA,ANOVA,IPD,2,Yes,0,77.29177109
LDA,ANOVA,PLV,3,Yes,0,77.16624896
LDA,ANOVA,PLV,3,Yes,All pairs,77.05304929
LDA,ANOVA,PLV,3,Yes,1,77.04657477
LDA,ANOVA,IPD,2,Yes,All pairs,77.04177109
LDA,ANOVA,IPD,2,Yes,3,76.99373434
LDA,BD,IPD,2,Yes,All pairs,76.63575606
LDA,BD,IPD,3,Yes,All pairs,75.99143693
LDA,ANOVA,PLV,2,Yes,All pairs,75.81892231
LDA,ANOVA,IPD,3,Yes,All pairs,75.76336675
LDA,BD,PLV,3,Yes,All pairs,75.56558062
LDA,BD,PLV,2,Yes,All pairs,75.52756892
LDA,ANOVA,PLV,3,Yes,2,75.38304094
LDA,ANOVA,IPD,1,Yes,All pairs,75.15455305
LDA,ANOVA,PLV,1,Yes,All pairs,75.12426901
LDA,ANOVA,IPD,2,Yes,6,74.78174603
LDA,ANOVA,PLV,3,Yes,3,74.05931495
LDA,BD,IPD,1,Yes,All pairs,73.84732665
LDA,ANOVA,IPD,1,Yes,All pairs,73.79553049
LDA,ANOVA,IPD,2,Yes,9,72.94903926
LDA,BD,PLV,1,Yes,All pairs,72.30012531
LDA,ANOVA,PLV,3,Yes,4,71.41562239
LDA,ANOVA,IPD,2,Yes,12,71.17502089
LDA,ANOVA,PLV,3,Yes,5,71.06056809
LDA,ANOVA,IPD,2,Yes,14,69.36299081
LDA,ANOVA,PLV,3,Yes,6,68.40497076
LDA,ANOVA,IPD,2,Yes,15,67.88471178
LDA,ANOVA,IPD,2,No,All pairs,67.63262322
LDA,BD,IPD,3,No,All pairs,67.58625731
SVM,ANOVA,PLV,3,Yes,All pairs,67.40935673
LDA,ANOVA,IPD,3,No,All pairs,67.33834586
LDA,ANOVA,IPD,2,Yes,17,67.29365079
SVM,ANOVA,PLV,2,Yes,All pairs,67.25647452
LDA,BD,IPD,2,No,All pairs,67.2518797
LDA,ANOVA,PLV,3,Yes,7,67.04260652
SVM,BD,PLV,3,Yes,All pairs,67.03467001
SVM,ANOVA,IPD,2,Yes,All pairs,66.99415205
SVM,ANOVA,IPD,3,Yes,All pairs,66.84628237
SVM,BD,IPD,2,Yes,All pairs,66.11319967
SVM,ANOVA,IPD,1,Yes,All pairs,66.09314954
SVM,BD,IPD,3,Yes,All pairs,65.93400167
SVM,ANOVA,PLV,1,Yes,All pairs,65.79866332
LDA,ANOVA,PLV,3,No,All pairs,65.65225564
SVM,BD,PLV,1,Yes,All pairs,65.63011696
LDA,BD,PLV,3,No,All pairs,65.38011696
LDA,ANOVA,PLV,2,No,All pairs,65.10944027
SVM,BD,IPD,1,Yes,All pairs,65.03696742
SVM,BD,PLV,2,Yes,All pairs,64.66499582
LDA,BD,IPD,1,No,All pairs,64.59043442
LDA,ANOVA,IPD,2,Yes,19,64.36340852
SVM,ANOVA,IPD,3,No,All pairs,64.35672515
LDA,ANOVA,PLV,3,Yes,8,64.11466165
SVM,BD,PLV,2,No,All pairs,64.05827068
LDA,ANOVA,IPD,1,No,All pairs,63.92690058
SVM,BD,IPD,3,No,All pairs,63.80659983
LDA,BD,PLV,2,No,All pairs,63.55701754
SVM,BD,PLV,3,No,All pairs,63.39223058
SVM,ANOVA,PLV,3,No,All pairs,63.2997076
SVM,ANOVA,IPD,2,No,All pairs,63.27777778
SVM,ANOVA,PLV,2,No,All pairs,62.79197995
LDA,ANOVA,PLV,1,No,All pairs,62.60004177
SVM,BD,IPD,2,No,All pairs,62.37269456
LDA,ANOVA,PLV,3,Yes,9,61.94319131
LDA,BD,PLV,1,No,All pairs,61.82560568
LDA,ANOVA,IPD,2,Yes,21,61.80492899
SVM,ANOVA,PLV,1,No,All pairs,61.33124478
SVM,BD,IPD,1,No,All pairs,61.0982906
SVM,ANOVA,IPD,1,No,All pairs,60.59983292
SVM,BD,PLV,1,No,All pairs,60.55994152
LDA,ANOVA,PLV,3,Yes,11,59.61988304
