Model,Feature Selection,Feature Extraction,Channel Pair Set,Overall Mean Accuracy,Overall Standard Deviation,Maximum Accuracy,Minimum Accuracy
LinearSVM,ANOVA,PLV,3,85.276,4.114,90.665,77.222
LinearSVM,ANOVA,IPD,2,84.058,4.476,92.869,76.519
LinearSVM,ANOVA,IPD,3,83.585,5.240,91.230,72.501
LinearSVM,ANOVA,PLV,2,83.336,4.719,90.517,75.479
LinearSVM,ANOVA,PLV,1,81.684,4.510,87.427,75.509
LinearSVM,BD,PLV,2,81.617,5.403,95.036,74.747
LinearSVM,BD,PLV,3,81.431,4.558,88.434,73.737
LinearSVM,BD,IPD,3,81.255,5.688,88.021,67.496
LinearSVM,ANOVA,IPD,1,81.025,5.662,90.479,72.531
LinearSVM,BD,IPD,2,80.097,4.042,90.625,74.009
LDA,ANOVA,PLV,2,78.027,4.702,85.173,70.994
LDA,ANOVA,PLV,3,77.872,4.020,84.617,70.556
LinearSVM,BD,IPD,1,77.647,5.849,88.504,65.996
LinearSVM,BD,PLV,1,77.530,4.051,84.999,72.501
LDA,ANOVA,IPD,2,76.437,3.546,82.292,71.491
LDA,ANOVA,IPD,3,76.231,3.907,82.911,70.488
LDA,ANOVA,PLV,1,76.035,3.614,81.284,70.519
LDA,BD,IPD,3,75.942,4.700,83.529,66.998
LDA,BD,PLV,3,75.607,2.599,80.747,68.498
LDA,BD,IPD,2,75.563,4.555,83.854,66.508
LDA,BD,PLV,2,75.246,3.974,84.044,70.707
LDA,ANOVA,IPD,1,74.859,3.898,80.906,68.498
LDA,BD,PLV,1,73.443,3.750,81.992,69.444
LDA,BD,IPD,1,72.870,3.530,80.989,67.503
