Model,Feature Selection,Feature extraction,Channel Pair,Sliding Window,Reduced Pairs Greater than,OverallMeanAccuracy
LDA,ANOVA,IPD,3,Yes,All pairs,77.30555556
LDA,ANOVA,PLV,3,Yes,All pairs,76.59502924
LDA,ANOVA,PLV,2,Yes,All pairs,76.16436926
LDA,BD,IPD,2,Yes,All pairs,75.19047619
LDA,BD,PLV,3,Yes,All pairs,74.17502089
LDA,ANOVA,IPD,2,Yes,All pairs,74.1622807
LDA,ANOVA,PLV,1,Yes,All pairs,73.95551378
LDA,BD,PLV,2,Yes,All pairs,73.9521721
LDA,BD,IPD,3,Yes,All pairs,73.86925647
LDA,BD,IPD,1,Yes,All pairs,73.77694236
LDA,ANOVA,IPD,1,Yes,All pairs,72.55868839
LDA,BD,PLV,1,Yes,All pairs,70.97869674
SVM,ANOVA,IPD,3,Yes,All pairs,66.59920635
SVM,BD,PLV,3,Yes,All pairs,66.59210526
SVM,ANOVA,PLV,3,Yes,All pairs,66.38116124
SVM,BD,IPD,3,Yes,All pairs,66.13784461
SVM,ANOVA,PLV,1,Yes,All pairs,65.73746867
SVM,ANOVA,IPD,1,Yes,All pairs,65.67314119
SVM,BD,IPD,1,Yes,All pairs,64.88011696
SVM,ANOVA,PLV,2,Yes,All pairs,64.85568087
SVM,ANOVA,IPD,2,Yes,All pairs,64.52401838
SVM,BD,PLV,1,Yes,All pairs,64.34189641
SVM,BD,PLV,2,Yes,All pairs,64.11988304
SVM,BD,IPD,2,Yes,All pairs,64.01461988
