Model,Feature Selection,Feature Extraction,Channel Pair Set,Overall Mean Accuracy,Overall Standard Deviation,Maximum Accuracy,Minimum Accuracy
LinearSVM,ANOVA,PLV,3,81.707,5.458,90.676,70.000
LinearSVM,ANOVA,IPD,3,81.240,5.679,92.307,72.000
LinearSVM,ANOVA,IPD,2,81.085,4.697,89.500,71.500
LinearSVM,ANOVA,PLV,2,80.684,6.894,92.319,70.000
LinearSVM,BD,PLV,3,79.392,3.780,84.500,73.500
LinearSVM,BD,PLV,2,77.817,4.084,85.725,71.000
LinearSVM,BD,IPD,3,77.578,4.076,84.375,71.500
LinearSVM,ANOVA,PLV,1,77.306,3.527,82.813,71.500
LinearSVM,BD,IPD,2,77.249,5.484,89.529,67.778
LinearSVM,ANOVA,IPD,1,77.224,4.800,84.070,66.500
LDA,ANOVA,PLV,3,76.253,4.333,85.193,69.444
LDA,ANOVA,IPD,2,76.145,3.330,82.000,68.694
LDA,BD,IPD,2,75.672,5.119,82.379,66.111
LDA,ANOVA,PLV,2,75.217,4.298,83.502,66.667
LDA,BD,PLV,2,75.114,2.965,80.500,70.500
LDA,BD,IPD,3,75.078,5.052,84.082,67.000
LDA,ANOVA,IPD,3,75.025,4.756,82.983,65.633
LinearSVM,BD,PLV,1,74.542,2.913,80.388,68.333
LDA,BD,PLV,3,74.274,2.484,79.000,70.500
LDA,ANOVA,PLV,1,74.082,3.868,80.729,68.333
LinearSVM,BD,IPD,1,73.970,4.062,82.403,68.000
LDA,ANOVA,IPD,1,72.593,3.942,78.000,66.500
LDA,BD,IPD,1,72.576,3.389,80.000,69.000
LDA,BD,PLV,1,71.901,3.677,79.000,67.778
